Spirited Away	['Atmospheric', 'Offbeat', 'Stylized', 'Exciting', 'young_heroes', 'rescue', 'curses_spells_and_rituals', 'Escapades', 'Imaginary', 'Supernatural', 'Youth', 'ghost', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', 'contemporary', '21st_century', 'Asia', 'Japan', 'Theme_Park', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Berlin_festival_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic']
Notorious	['Suspenseful', 'Stylized', 'Tense', 'secret_agents', 'espionage', 'Undercover', 'fall_in_love', 'working_undercover', 'Dishonesty', 'Love_and_romance', 'ROMANCE', 'THRILLER', 'Film_noir', '20th_century', '40s', 'Brazil', 'Rio_de_janeiro', 'Latin_America', 'award_winner', 'critically_acclaimed', 'Serious', 'Realistic', 'Mild_Violent_Content']
Snowboard Academy	['Humorous', 'Feel_Good', 'goofy_hero', 'contests_and_competitions', 'nothing_goes_right', 'Disorder', 'save_the_day', 'athlete_and_trainer', 'sport_team', 'Rivalry', 'COMEDY', 'SPORT', '20th_century', '90s', 'Teens', 'Farce', 'slapstick', 'Not_Serious', 'Realistic']
Rashomon	['Bleak', 'Contemplative', 'Stylized', 'Suspenseful', 'Captivating', 'Tense', 'Atmospheric', 'Clever', 'samurai', 'investigation', 'uncover_truth', 'human_nature', 'psychological', 'redemption', 'murder', 'Crimes', 'DRAMA', 'PERIOD', 'foreign', 'CRIME', 'MYSTERY', 'Middle_ages', 'Asia', 'Japan', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Prestigious_Awards', 'Venice_festival_winner', 'Multiple_stories', 'Nonlinear', 'based_on_short_story', 'Serious', 'Realistic', 'Slow']
Roman Holiday	['Humorous', 'Stylized', 'Touching', 'Atmospheric', 'Sentimental', 'hidden_identity', 'fall_in_love', 'fish_out_of_water', 'royal_family', 'Dishonesty', 'Love_and_romance', 'Media', 'Rebellion', 'COMEDY', 'ROMANCE', 'Hollywood_Tone', '20th_century', '50s', 'Europe', 'Italy', 'Rome', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Semi_Serious', 'Realistic', 'Orchestral']
Papillon	['Bleak', 'Captivating', 'Tense', 'Emotional', 'Rough', 'Suspenseful', 'buddies', 'breakout', 'human_spirit', 'false_accusation', 'prison_life', 'Confined', 'Dishonesty', 'Hopes', 'ADVENTURE', 'DRAMA', 'independent', 'PERIOD', '20th_century', '30s', '40s', 'Prison', 'Classic', 'critically_acclaimed', 'based_on_book', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Brief_Nudity', 'Violent_Content']
The Princess Bride	['Feel_Good', 'Humorous', 'Witty', 'Exciting', 'Offbeat', 'Touching', 'friendship', 'true_love', 'heroic_mission', 'imaginary_kingdom', 'Danger', 'Heroes', 'Imaginary', 'Love_and_romance', 'ADVENTURE', 'FAMILY', 'FANTASY', 'COMEDY', 'ROMANCE', 'Date_night', 'Family_outing', 'Teens', 'award_winner', 'critically_acclaimed', 'cult', 'Modern_classic', 'Verbal_byplay', 'Fairytale', 'based_on_book', 'Not_Serious', 'Fantastic', 'Mild_Violent_Content']
Metropolis	['Atmospheric', 'Stylized', 'Bleak', 'Clever', 'androids_and_robots', 'social_differences', 'future_dystopia', 'working_class', 'Imaginary', 'Life_is_a_bitch', 'Society', 'Social_relations', 'foreign', 'Futuristic', 'Expressionism', 'Silent', '21st_century', 'Future', 'Factory', 'Urban', 'Classic', 'critically_acclaimed', 'Essential', 'groundbreaking', 'masterpiece', 'based_on_book', 'Serious', 'Fantastic', 'Special_effects']
Stalag 17	['Suspenseful', 'Witty', 'Tense', 'Cynical', 'captivity', 'prison_life', 'who_done_it', 'Confined', 'betrayal', 'wartime_life', 'Power_relations', 'DRAMA', 'WAR', 'World_War_2', 'Prison', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Dark_Humor', 'Ensemble_cast', 'based_on_play', 'Serious', 'Realistic']
Witness for the Prosecution	['Clever', 'Suspenseful', 'Witty', 'Captivating', 'Mind_Bending', 'Cynical', 'Tense', 'dedicated_lawyer', 'legal_investigation', 'uncover_truth', 'couple_relations', 'courtroom_drama', 'false_accusation', 'murder', 'who_done_it', 'CRIME', 'DRAMA', 'MYSTERY', '20th_century', '50s', 'England', 'Europe', 'London', 'Courtroom', 'award_winner', 'critically_acclaimed', 'Essential', 'masterpiece', 'Golden_globe_winner', 'Prestigious_Awards', 'Twists_and_turns', 'Talky', 'based_on_play', 'based_on_short_story', 'Serious', 'Realistic']
The Usual Suspects	['Clever', 'Suspenseful', 'Mind_Bending', 'Cynical', 'Atmospheric', 'Contemplative', 'Tense', 'criminal_heroes', 'master_criminal', 'mysterious_character', 'witnessing_a_crime', 'crime_gone_awry', 'manipulations', 'Police_Investigation', 'heist', 'CRIME', 'MYSTERY', 'THRILLER', 'independent', 'Neo_noir', '20th_century', '90s', 'award_winner', 'critically_acclaimed', 'cult', 'Essential', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Ensemble_cast', 'Nonlinear', 'Twists_and_turns', 'Voice_over', 'Talky', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
The Avengers	['Stylized', 'Humorous', 'mad_scientist', 'master_villain', 'secret_agents', 'espionage', 'good_versus_evil', 'race_against_time', 'save_the_day', 'save_the_world', 'ACTION', 'ADVENTURE', 'COMEDY', '90s', 'England', 'Europe', 'Teens', 'Campy', 'based_on_TV_series', 'remake', 'Semi_Serious', 'Fantastic', 'Fast']
The Graduate	['Sexual', 'Witty', 'Cynical', 'Humorous', 'Offbeat', 'Stylized', 'Biting', 'coming_of_age', 'forbidden_love', 'infidelity', 'love_affair', 'suburban_life', 'Love_and_romance', 'Youth', 'young_lovers', 'DRAMA', 'independent', 'COMEDY', 'ROMANCE', '20th_century', '60s', 'California', 'USA', 'Suburbs', 'Date_night', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Dark_Humor', 'based_on_book', 'Semi_Serious', 'Realistic', 'Pop', 'Sexual_Content']
The Wild World of Batwoman	['Humorous', 'master_villain', 'fighting_crime', 'good_versus_evil', 'Danger', 'Escapades', 'Heroes', 'Rivalry', 'mad_scientist', 'COMEDY', 'PARODY', 'independent', 'FANTASY', 'HORROR', 'Campy', 'Not_Serious', 'Fantastic']
Million Dollar Baby	['Bleak', 'Contemplative', 'Emotional', 'Gloomy', 'Rough', 'Captivating', 'underdog', 'contests_and_competitions', 'follow_your_dream', 'feminism', 'athlete_and_trainer', 'Ambition', 'Gender', 'DRAMA', 'SPORT', 'Hollywood_Tone', 'Melodrama', 'contemporary', '21st_century', 'Los_Angeles', 'USA', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Voice_over', 'Strong_Female_Presence', 'based_on_short_story', 'Serious', 'Realistic', 'Violent_Content']
City Lights	['Feel_Good', 'Touching', 'Humorous', 'Bittersweet', 'fall_in_love', 'rich_and_poor', 'mistaken_identity', 'Life_is_a_bitch', 'Love_and_romance', 'wooing', 'down_on_your_luck', 'Escapades', 'ROMANCE', 'Silent', 'COMEDY', 'DRAMA', '20th_century', '30s', 'Urban', 'Date_night', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'slapstick', 'Semi_Serious', 'Realistic', 'Orchestral']
Night Train to Mundo Fine	['Rough', 'criminal_heroes', 'fugitives', 'heist', 'murder', 'Chases_and_races', 'Crimes', 'soldier', 'Confined', 'ACTION', 'ADVENTURE', 'THRILLER', 'independent', '60s', 'Cuba', 'Serious', 'Realistic']
The Shining	['Atmospheric', 'Bleak', 'Scary', 'Tense', 'ghost', 'isolation', 'Confined', 'Danger', 'Mind_and_soul', 'Supernatural', 'Unfulfillment', 'HORROR', '20th_century', '70s', 'Colorado', 'USA', 'Hotel', 'Indoors', 'critically_acclaimed', 'Essential', 'masterpiece', 'Modern_classic', 'surreal', 'based_on_book', 'Serious', 'Semi_fantastic', 'Strong_Violent_Content']
Citizen Kane	['Atmospheric', 'Clever', 'Gloomy', 'Stylized', 'Captivating', 'Contemplative', 'Sincere', 'Thought_Provoking', 'rise_to_the_top', 'human_nature', 'psychological', 'haunted_by_the_past', 'Ambition', 'Media', 'Mind_and_soul', 'Unfulfillment', 'DRAMA', 'PERIOD', '20s', '20th_century', '30s', 'USA', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'groundbreaking', 'masterpiece', 'Original', 'oscar_winner', 'Episodic', 'Film_in_film', 'Nonlinear', 'Serious', 'Realistic', 'Slow']
Donnie Darko	['Atmospheric', 'Offbeat', 'Captivating', 'Stylized', 'Mind_Bending', 'Biting', 'social_misfits', 'supernatural_ability', 'psychological', 'doctors_and_patients', 'parents_and_children', 'siblings_relations', 'teenage_love', 'high_school_life', 'DRAMA', 'independent', 'Postmodernism', 'FANTASY', 'PERIOD', '20th_century', '80s', 'Suburbs', 'Teens', 'award_winner', 'critically_acclaimed', 'cult', 'Essential', 'Satire', 'surreal', 'Serious', 'Semi_fantastic', 'Violent_Content']
Inception	['Stylized', 'Mind_Bending', 'Clever', 'Suspenseful', 'Exciting', 'Captivating', 'Tense', 'manipulations', 'on_the_run', 'race_against_time', 'psychological', 'Chases_and_races', 'Dishonesty', 'Mind_and_soul', 'redemption', 'Hollywood_Tone', 'MYSTERY', 'THRILLER', 'Futuristic', 'Postmodernism', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic', 'Orchestral', 'Special_effects', 'Violent_Content']
The Gold Rush	['Clever', 'Humorous', 'fall_in_love', 'rich_and_poor', 'Love_and_romance', 'Society', 'Power_relations', 'social_misfits', 'nothing_goes_right', 'Misfit', 'ADVENTURE', 'COMEDY', 'Silent', '20s', '20th_century', 'Alaska', 'USA', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Satire', 'slapstick', 'Semi_Serious', 'Realistic']
Laserblast	['Offbeat', 'Suspenseful', 'Scary', 'Bleak', 'Stylized', 'Exciting', 'Rivalry', 'Space_and_aliens', 'Evil_Alien', 'special_agents', 'supernatural_ability', 'vengeance', 'alien_encounter', 'teenage_life', 'independent', 'FANTASY', 'HORROR', 'THRILLER', 'Desert', 'Semi_Serious', 'Fantastic', 'Stop_motion']
Amadeus	['Witty', 'Captivating', 'Humorous', 'Stylized', 'mentally_unstable', 'prodigy', 'blind_ambition', 'desire_for_fame', 'uninhibited_rivalry', 'Ambition', 'Artists_and_showbiz', 'DRAMA', 'MUSIC', 'PERIOD', 'independent', '18th_century', 'Austria', 'Europe', 'Royal_court', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'based_on_play', 'biography', 'based_on_true_story', 'Semi_Serious', 'Realistic', 'classical']
It Happened One Night	['Clever', 'Feel_Good', 'Humorous', 'Witty', 'Captivating', 'unlikely_couple', 'battle_of_the_sexes', 'opposites_attract', 'fall_in_love', 'social_differences', 'Love_and_romance', 'Couples', 'parents_and_children', 'COMEDY', 'ROMANCE', 'Hollywood_Tone', '20th_century', '30s', 'Bus', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Verbal_byplay', 'Screwball', 'On_the_Road', 'Talky', 'Strong_Female_Presence', 'based_on_book', 'Semi_Serious', 'Realistic']
The Wizard of Oz	['Atmospheric', 'Feel_Good', 'Sincere', 'Captivating', 'Sentimental', 'Stylized', 'Touching', 'Exciting', 'young_heroes', 'getting_home', 'friendship', 'imaginary_kingdom', 'parallel_world', 'Escapades', 'Hopes', 'Imaginary', 'ADVENTURE', 'FAMILY', 'FANTASY', 'MUSICAL', 'Hollywood_Tone', 'Kansas', 'USA', 'Family_outing', 'Kids', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'On_the_Road', 'Twists_and_turns', 'Strong_Female_Presence', 'based_on_book', 'Semi_Serious', 'Fantastic', 'Orchestral', 'Show_Tunes']
Ben-Hur	['Exciting', 'Captivating', 'Sincere', 'Tense', 'corrupted_ruler', 'master_warrior', 'betrayal', 'vengeance', 'friendship', 'captivity', 'Confined', 'Dishonesty', 'DRAMA', 'PERIOD', 'Hollywood_Tone', 'HISTORICAL', 'Ancient_history', 'Roman_empire', 'Family_outing', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'groundbreaking', 'oscar_winner', 'Prestigious_Awards', 'Epic', 'Serious', 'Realistic', 'Mild_Violent_Content']
Battlefield Earth	['Suspenseful', 'Exciting', 'Stylized', 'Evil_Alien', 'good_versus_evil', 'save_the_world', 'future_dystopia', 'heroic_mission', 'Escapades', 'Heroes', 'Life_is_a_bitch', 'ACTION', 'Futuristic', 'Future', 'Battle_Zone', 'controversial', 'Campy', 'based_on_book', 'Serious', 'Fantastic', 'Special_effects', 'Profanity', 'Violent_Content']
Back to the Future	['Humorous', 'Sentimental', 'Exciting', 'Clever', 'misfit_partners', 'odd_couple', 'changing_the_past_or_future', 'fish_out_of_water', 'teenage_life', 'time_travel', 'Chases_and_races', 'Hopes', 'ADVENTURE', 'COMEDY', 'FANTASY', 'Hollywood_Tone', '20th_century', '50s', '80s', 'USA', 'High_school', 'Date_night', 'Family_outing', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'Prestigious_Awards', 'Original', 'oscar_winner', 'Not_Serious', 'Fantastic', 'Fast', 'Special_effects']
The Grapes of Wrath	['Bleak', 'Emotional', 'Gloomy', 'Rough', 'Sincere', 'Touching', 'Captivating', 'Contemplative', 'immigrants', 'human_nature', 'americana', 'down_on_your_luck', 'family_in_crisis', 'family_life', 'working_class', 'Injustice', 'DRAMA', 'Hollywood_Tone', 'PERIOD', '20th_century', '30s', 'California', 'Oklahoma', 'USA', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'On_the_Road', 'based_on_book', 'Serious', 'Realistic']
The Dark Knight Rises	['Bleak', 'Rough', 'Exciting', 'Stylized', 'Suspenseful', 'master_villain', 'secret_identity', 'superhero', 'fighting_crime', 'good_versus_evil', 'chaos_and_mayhem', 'Danger', 'Heroes', 'ACTION', 'Hollywood_Tone', 'FANTASY', 'contemporary', '21st_century', 'USA', 'Urban', 'Teens', 'blockbuster', 'critically_acclaimed', 'All_star_cast', 'based_on_comics', 'Serious', 'Semi_fantastic', 'Special_effects', 'Violent_Content']
Wild Strawberries	['Contemplative', 'Touching', 'Atmospheric', 'Gloomy', 'golden_years', 'human_nature', 'introspection', 'psychological', 'redemption', 'self_discovery', 'Elderly', 'Hopes', 'DRAMA', 'foreign', '1900s', '20th_century', 'Europe', 'Sweden', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Berlin_festival_winner', 'Prestigious_Awards', 'Episodic', 'Nonlinear', 'On_the_Road', 'Voice_over', 'surreal', 'Serious', 'Realistic', 'Slow']
Blade Runner	['Atmospheric', 'Gloomy', 'Rough', 'Stylized', 'Captivating', 'Contemplative', 'Suspenseful', 'Thought_Provoking', 'androids_and_robots', 'fugitives', 'investigation', 'human_nature', 'future_dystopia', 'technology_gone_awry', 'Chases_and_races', 'THRILLER', 'Futuristic', 'Neo_noir', 'Postmodernism', 'ACTION', 'Future', 'Los_Angeles', 'USA', 'award_winner', 'critically_acclaimed', 'Essential', 'masterpiece', 'Modern_classic', 'Prestigious_Awards', 'Voice_over', 'based_on_book', 'Serious', 'Fantastic', 'Violent_Content']
Taxi Driver	['Bleak', 'Disturbing', 'Rough', 'Suspenseful', 'lone_wolves', 'social_misfits', 'obsession', 'unfulfilled_love', 'social_decay', 'Life_is_a_bitch', 'Mind_and_soul', 'DRAMA', 'CRIME', '20th_century', '70s', 'New_York', 'USA', 'Urban', 'Taxi', 'award_winner', 'Classic', 'controversial', 'critically_acclaimed', 'cult', 'Essential', 'Cannes_festival_winner', 'Prestigious_Awards', 'Serious', 'Realistic', 'Slow', 'Profanity', 'Sexual_Content', 'Violent_Content']
The Night of the Hunter	['Atmospheric', 'Disturbing', 'Bleak', 'Suspenseful', 'Scary', 'good_versus_evil', 'child_in_danger', 'psychopath', 'Danger', 'Deadly', 'Rivalry', 'clergy', 'mind_game', 'DRAMA', 'THRILLER', 'Expressionism', 'Realism', 'CRIME', 'HORROR', '20th_century', '30s', 'USA', 'West_Virginia', 'Small_town', 'Farm', 'Classic', 'critically_acclaimed', 'cult', 'masterpiece', 'based_on_book', 'Serious', 'Realistic']
The Silence of the Lambs	['Suspenseful', 'Captivating', 'Tense', 'Scary', 'serial_killer', 'special_agents', 'investigation', 'mind_game', 'psychopath', 'Crimes', 'Deadly', 'Law_enforcement', 'CRIME', 'THRILLER', '20th_century', '90s', 'USA', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Strong_Female_Presence', 'based_on_book', 'Serious', 'Realistic', 'Brief_Nudity', 'Sexual_Content', 'Strong_Violent_Content']
The Tony Blair Witch Project	['Humorous', 'Offbeat', 'ghost', 'obsessive_quest', 'legends_and_myths', 'Chases_and_races', 'Supernatural', 'head_of_state', 'Danger', 'State_affairs', 'COMEDY', 'independent', 'Mockumentary', 'HORROR', 'MYSTERY', '90s', 'USA', 'West_Virginia', 'Wilderness', 'Teens', 'Not_Serious', 'Semi_fantastic']
Memories of Murder	['Bleak', 'Clever', 'Stylized', 'Captivating', 'Tense', 'Police_Detective', 'serial_killer', 'Police_Investigation', 'murder', 'Crimes', 'Deadly', 'Law_enforcement', 'misfit_partners', 'CRIME', 'DRAMA', 'THRILLER', 'foreign', 'PERIOD', '20th_century', '80s', 'Asia', 'Korea', 'Small_town', 'award_winner', 'critically_acclaimed', 'based_on_play', 'based_on_true_story', 'Serious', 'Realistic', 'Slow', 'Violent_Content']
The Man Who Shot Liberty Valance	['Atmospheric', 'Gloomy', 'Sentimental', 'Bittersweet', 'Emotional', 'politics', 'uninhibited_rivalry', 'Dishonesty', 'Heroes', 'Love_and_romance', 'Rivalry', 'Society', 'Unfulfillment', 'WESTERN', '19th_century', 'Old_west', 'Small_town', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'All_star_cast', 'Serious', 'Realistic', 'Mild_Violent_Content']
The Maltese Falcon	['Clever', 'Cynical', 'Atmospheric', 'Stylized', 'Suspenseful', 'Captivating', 'Tense', 'femme_fatale', 'private_detective', 'betrayal', 'intrigue', 'investigation', 'murder', 'Crimes', 'Deadly', 'CRIME', 'MYSTERY', 'Film_noir', 'Hollywood_Tone', 'THRILLER', '20th_century', '40s', 'San_Francisco', 'USA', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'based_on_book', 'remake', 'Serious', 'Realistic', 'Mild_Violent_Content']
Shark	['dedicated_lawyer', 'hotshot_lawyer', 'protagonist_as_suspect', 'legal_action', 'who_done_it', 'Righting_the_Wronged', 'Crimes', 'Dishonesty', 'CRIME', 'DRAMA', 'MYSTERY', 'contemporary', '21st_century', 'Los_Angeles', 'USA', 'Office', 'Courtroom', 'Serious', 'Realistic']
Surf School	['Humorous', 'Offbeat', 'Witty', 'best_friends', 'buddies', 'social_misfits', 'underdog', 'coming_of_age', 'contests_and_competitions', 'friendship', 'teenage_love', 'COMEDY', 'SPORT', 'contemporary', 'California', 'USA', 'High_school', 'School', 'Teens', 'Grossout_humor', 'Irreverent_humor', 'Silly_Humor', 'Semi_Serious', 'Realistic']
Casablanca	['Atmospheric', 'Emotional', 'Sentimental', 'Sincere', 'Touching', 'Captivating', 'Bittersweet', 'love_affair', 'love_triangle', 'lovers_reunited', 'political_unrest', 'wartime_life', 'Dishonesty', 'Life_is_a_bitch', 'Love_and_romance', 'DRAMA', 'ROMANCE', 'Hollywood_Tone', 'Melodrama', '20th_century', '40s', 'World_War_2', 'Africa', 'Morocco', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'based_on_play', 'Serious', 'Realistic', 'Slow', 'Orchestral']
The Untouchables	['Rough', 'Stylized', 'Captivating', 'Suspenseful', 'partners_against_crime', 'Police_Detective', 'fighting_crime', 'idealism', 'Crimes', 'Law_enforcement', 'Rivalry', 'Society', 'CRIME', 'THRILLER', 'Hollywood_Tone', 'ACTION', 'HISTORICAL', 'PERIOD', '20s', '20th_century', 'Chicago', 'USA', 'Urban', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'All_star_cast', 'Epic', 'based_on_book', 'based_on_TV_series', 'based_on_true_story', 'Serious', 'Realistic', 'Orchestral', 'Violent_Content']
The Sixth Sense	['Atmospheric', 'Bleak', 'Gloomy', 'Suspenseful', 'Captivating', 'Mind_Bending', 'Stylized', 'ghost', 'supernatural_ability', 'psychological', 'doctors_and_patients', 'Mind_and_soul', 'Supernatural', 'Power_relations', 'Misfit', 'DRAMA', 'MYSTERY', 'THRILLER', 'Hollywood_Tone', '20th_century', '90s', 'Philadelphia', 'USA', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Original', 'Modern_classic', 'Twists_and_turns', 'Serious', 'Semi_fantastic', 'Mild_Violent_Content']
Rear Window	['Clever', 'Stylized', 'Suspenseful', 'Mind_Bending', 'Tense', 'witnessing_a_crime', 'investigation', 'psychological', 'isolation', 'voyeurism', 'Disability', 'Confined', 'Crimes', 'MYSTERY', 'THRILLER', 'CRIME', '20th_century', '50s', 'New_York', 'USA', 'Indoors', 'Urban', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Twists_and_turns', 'based_on_short_story', 'Serious', 'Realistic', 'Mild_Violent_Content']
